Song,Date,Number of Plays
Stairway to Heaven,2022-12-09,75633
Imagine,2022-12-11,99156
Hey Jude,2022-12-14,35270
Like a Rolling Stone,2022-12-01,48465
Sweet Child o' Mine,2022-12-14,55533
Bohemian Rhapsody,2022-12-06,19915
Like a Rolling Stone,2022-12-14,14107
Bohemian Rhapsody,2022-12-02,21951
Stairway to Heaven,2022-12-07,34643
Imagine,2022-12-11,82976
Yesterday,2022-12-14,82931
Stairway to Heaven,2022-12-14,22272
Like a Rolling Stone,2022-12-03,64607
Stairway to Heaven,2022-12-06,73355
Hey Jude,2022-12-08,81399
Bohemian Rhapsody,2022-12-01,83646
Wonderwall,2022-12-01,61539
Hey Jude,2022-12-12,59810
Stairway to Heaven,2022-12-13,1559
Imagine,2022-12-07,84723
Bohemian Rhapsody,2022-12-10,1318
Stairway to Heaven,2022-12-10,53919
Smells Like Teen Spirit,2022-12-10,10582
Sweet Child o' Mine,2022-12-06,84897
Imagine,2022-12-06,69456
Imagine,2022-12-11,1293
Hey Jude,2022-12-09,89849
Sweet Child o' Mine,2022-12-08,36180
Stairway to Heaven,2022-12-04,32685
Smells Like Teen Spirit,2022-12-03,84607
Stairway to Heaven,2022-12-04,83017
Stairway to Heaven,2022-12-08,8417
Hey Jude,2022-12-03,17989
Bohemian Rhapsody,2022-12-12,88744
Stairway to Heaven,2022-12-13,78680
Smells Like Teen Spirit,2022-12-10,67793
Yesterday,2022-12-05,46817
Stairway to Heaven,2022-12-03,77990
Hotel California,2022-12-03,79082
Hotel California,2022-12-11,55528
Bohemian Rhapsody,2022-12-07,25063
Hey Jude,2022-12-05,67272
Bohemian Rhapsody,2022-12-11,54560
Smells Like Teen Spirit,2022-12-05,8380
Like a Rolling Stone,2022-12-04,56061
Wonderwall,2022-12-12,77926
Imagine,2022-12-02,45700
Stairway to Heaven,2022-12-10,44883
Hotel California,2022-12-14,90406
Yesterday,2022-12-09,71181
Wonderwall,2022-12-13,8910
Yesterday,2022-12-04,82943
Like a Rolling Stone,2022-12-02,32119
Stairway to Heaven,2022-12-09,43450
Stairway to Heaven,2022-12-05,26696
Bohemian Rhapsody,2022-12-03,5414
Hey Jude,2022-12-01,95387
Hey Jude,2022-12-02,23579
Yesterday,2022-12-13,11070
Hey Jude,2022-12-08,9698
Stairway to Heaven,2022-12-13,63286
Like a Rolling Stone,2022-12-07,87872
Yesterday,2022-12-05,97143
Hey Jude,2022-12-03,19604
Bohemian Rhapsody,2022-12-01,31149
Like a Rolling Stone,2022-12-04,36219
Stairway to Heaven,2022-12-10,35707
Smells Like Teen Spirit,2022-12-09,69369
Sweet Child o' Mine,2022-12-05,43190
Hotel California,2022-12-01,34187
Imagine,2022-12-03,58757
Bohemian Rhapsody,2022-12-14,34908
Hey Jude,2022-12-13,44922
Imagine,2022-12-11,93955
Smells Like Teen Spirit,2022-12-11,41208
Stairway to Heaven,2022-12-14,69620
Wonderwall,2022-12-12,18791
Hotel California,2022-12-05,66876
Stairway to Heaven,2022-12-05,71976
Like a Rolling Stone,2022-12-10,23290
Stairway to Heaven,2022-12-04,65548
Imagine,2022-12-09,57500
Bohemian Rhapsody,2022-12-14,71226
Sweet Child o' Mine,2022-12-13,95556
Hey Jude,2022-12-01,24966
Sweet Child o' Mine,2022-12-04,60303
Imagine,2022-12-01,26658
Smells Like Teen Spirit,2022-12-01,36000
Wonderwall,2022-12-05,58544
